#{"t_start": 1751639204.6943822, "env_id": "None"}
r,l,t
12923272.115298,1979,9.970909
42958843.286377,1979,22.933501
142871402.320708,1979,35.366846
59710432.176952,1979,47.468112
389560655.240863,1979,59.773317
36706857.440716,1979,73.682856
15142116.344693,1979,85.273461
