#{"t_start": 1752008647.325863, "env_id": "None"}
r,l,t
-2.70592,1,841.760352
-2.609115,1,841.815644
-2.883496,1,841.864316
-2.913818,1,841.918094
-2.829728,1,841.964319
-2.847247,1,842.015419
-2.730388,1,842.067932
-2.74638,1,842.123687
-2.831335,1,842.178598
-2.789503,1,842.230547
-2.649246,1,842.288293
-2.813069,1,842.336101
-2.625025,1,842.3941
-2.699465,1,842.467087
-2.763078,1,842.518022
-2.72737,1,842.568025
-2.849868,1,842.621188
-2.810417,1,842.678215
-2.54711,1,842.731068
-2.800349,1,842.780328
-2.712648,1,842.836975
-2.7153,1,842.892978
-2.761845,1,842.953458
-2.644444,1,843.001466
-2.770176,1,843.050178
-2.735756,1,843.098192
-2.640616,1,843.153027
-2.949279,1,843.199724
-2.808463,1,843.252802
-2.7881,1,843.300926
-2.730168,1,843.350804
-2.728018,1,843.404362
-2.745317,1,843.459277
-2.775745,1,843.511955
-2.810826,1,843.575203
-2.851644,1,843.625771
-2.815606,1,843.671931
-2.756908,1,843.721266
-2.916257,1,843.774112
-2.889748,1,843.830431
-2.753367,1,843.879782
-2.70989,1,843.926499
-2.78134,1,843.975182
-2.746511,1,844.041988
-2.637014,1,844.093569
-2.834098,1,844.141118
-2.644077,1,844.186316
-2.664301,1,844.235026
-2.890708,1,844.291218
-2.848926,1,844.341262
-2.739279,1,844.391586
-2.745541,1,844.445629
-2.741316,1,844.51175
-2.858027,1,844.562421
-2.72191,1,844.61306
-2.77199,1,844.66231
-2.794108,1,844.726731
-2.900461,1,844.779287
-2.732172,1,844.835797
-2.805405,1,844.88321
-2.901002,1,844.931343
-2.635084,1,844.990218
-2.881821,1,845.042589
-2.656777,1,845.095121
-2.735146,1,845.152576
-2.87241,1,845.212792
-2.674183,1,845.267504
-2.797358,1,845.314498
-2.827275,1,845.371943
-2.930428,1,845.414766
-2.793211,1,845.472018
-3.068231,1,845.533421
-2.896394,1,845.582398
-2.925388,1,845.634562
-2.770718,1,845.684848
-2.617064,1,845.733384
-2.645196,1,845.785158
-2.907698,1,845.833931
-2.607516,1,845.894092
-2.716952,1,845.951967
-2.94065,1,846.000735
-2.632087,1,846.049844
-2.692444,1,846.108487
-2.769985,1,846.160555
-2.72226,1,846.216928
-2.785687,1,846.267635
-2.80327,1,846.321486
-2.847348,1,846.381553
-2.588378,1,846.430031
-2.791611,1,846.47919
-2.580853,1,846.550874
-2.744264,1,846.6126
-2.837274,1,846.666747
-2.700086,1,846.731184
-2.858872,1,846.792976
-2.643869,1,846.839491
-2.697384,1,846.892768
-3.066284,1,846.938989
-2.767859,1,846.992101
-2.812936,1,847.039242
-2.709776,1,847.093383
-2.740896,1,847.14472
-2.737492,1,847.212963
-2.704582,1,847.272861
-2.723469,1,847.327548
-2.660585,1,847.387062
-2.812479,1,847.440201
-2.731251,1,847.49104
-2.679133,1,847.547235
-2.942084,1,847.596576
-2.633514,1,847.648419
-2.706072,1,847.699764
-2.804385,1,847.754203
-2.82648,1,847.804389
-2.809617,1,847.855166
-2.89804,1,847.904156
-2.700302,1,847.957607
-2.675664,1,848.012072
-2.656952,1,848.060621
-2.695432,1,848.112971
-2.84648,1,848.175049
-2.816028,1,848.230041
-2.728821,1,848.282859
-2.770395,1,848.346979
-2.758593,1,848.404499
-2.803091,1,848.454584
-2.687516,1,848.509417
-2.755613,1,848.563427
-2.748189,1,848.617845
-2.777109,1,848.670877
-2.679632,1,848.719797
-2.761943,1,848.769383
-2.802479,1,848.833952
-2.682395,1,848.87523
-2.76614,1,848.929688
-2.902757,1,848.978491
-2.736876,1,849.04374
-2.907899,1,849.096218
-2.799893,1,849.14414
-2.782169,1,849.191003
-2.610988,1,849.25119
-2.640278,1,849.307599
-2.614067,1,849.352327
