timestamp,open,high,low,close,volume,quote_volume
2022-07-14,230.42,239.8,227.21,238.09,810.55433709,188309.3734200165
2022-07-15,238.33,242.42,235.36,238.5,912.49885897,217219.655863783
2022-07-16,238.5,251.21,234.1,249.78,2349.72088878,573863.6812480564
2022-07-17,251.26,255.53,247.14,247.99,895.32536487,224872.7220820386
2022-07-18,247.74,265.52,247.74,264.67,4252.61823519,1100978.651793787
2022-07-19,264.38,274.8,256.07,268.8,1458.75723586,387552.4839994434
2022-07-20,268.1,271.92,256.68,258.92,1197.7446382,319487.5201691434
2022-07-21,258.02,265.94,250.0,265.94,1191.93678592,304765.7233222124
2022-07-22,265.4,271.41,261.48,262.97,897.87514094,238945.7008947573
2022-07-23,262.97,272.0,252.89,259.39,1381.78004599,355165.4724365158
2022-07-24,260.95,266.1,257.71,261.47,353.62910039,92851.8670355373
2022-07-25,261.5,262.08,244.66,245.06,1475.72859626,375919.5815684928
2022-07-26,244.47,249.47,239.54,249.47,931.91907228,226727.6922134026
2022-07-27,249.53,272.06,247.74,271.71,1345.58150433,350408.7426693216
2022-07-28,271.03,280.7,264.23,277.44,1570.44821054,427599.9181372526
2022-07-29,277.56,302.17,275.14,293.6,2583.33825665,754893.7500768983
2022-07-30,294.11,300.0,265.07,287.64,1861.69995172,542522.4845733058
2022-07-31,287.61,296.91,282.58,283.5,1334.42393828,388792.5218798132
2022-08-01,283.67,289.63,278.12,283.86,1325.49182246,376724.4871716693
2022-08-02,283.27,291.3,274.61,283.8,1607.57337899,453966.1723088011
2022-08-03,283.84,305.75,278.47,297.65,2111.09486454,625212.9192263387
2022-08-04,297.25,313.05,297.25,311.88,2753.58237375,838288.6943762278
2022-08-05,312.17,321.27,308.42,315.74,1956.89376805,616644.6595517463
2022-08-06,316.17,322.63,312.83,314.89,1727.88822677,547563.88072676
2022-08-07,315.01,326.04,308.42,322.94,1527.81085763,486571.8245835723
2022-08-08,322.93,333.72,321.58,325.13,1475.19548304,482521.4887806391
2022-08-09,325.11,328.32,312.74,325.03,1168.16470324,373681.0260800412
2022-08-10,324.74,355.0,313.83,328.88,3990.14714918,1299313.7308665316
2022-08-11,328.62,334.6,322.27,323.93,1319.70839517,434381.3687689207
2022-08-12,323.42,327.91,318.0,327.91,714.85200885,230939.7440498039
2022-08-13,328.66,332.95,323.17,324.25,1043.38862516,342169.2481333479
2022-08-14,323.97,330.98,316.2,317.32,981.12052919,317947.3279634556
2022-08-15,315.96,327.25,314.18,319.29,979.17080644,312206.0452359241
2022-08-16,319.42,322.33,312.18,315.57,660.09940062,209097.3554978885
2022-08-17,317.33,323.96,304.14,306.86,1723.43795264,538111.3825287997
2022-08-18,306.65,310.39,296.16,298.26,1246.15975878,379768.3184965048
2022-08-19,298.03,298.03,276.3,279.31,2836.90599104,809344.8582804009
2022-08-20,279.78,288.86,277.88,283.62,1632.92139931,463738.1790013386
2022-08-21,283.58,303.98,283.52,301.92,1360.97343638,403677.4393995336
2022-08-22,301.91,304.4,289.14,300.25,1557.95785873,462237.1704185029
2022-08-23,300.11,301.26,293.96,298.71,1211.13441891,361430.9262271555
2022-08-24,299.37,300.0,294.55,296.45,958.70943806,285119.6364478943
2022-08-25,296.44,307.06,296.0,301.41,1294.53745281,390265.1204515549
2022-08-26,301.08,302.18,277.77,279.51,1655.84241079,484364.4442086126
2022-08-27,279.57,284.78,274.0,277.62,1665.29022251,465822.7294484627
2022-08-28,277.78,283.73,275.7,276.24,915.82874451,255837.0347298815
2022-08-29,276.92,286.42,272.58,286.21,1025.88112459,287151.6809649829
2022-08-30,285.41,291.76,276.94,281.03,1061.13191174,302404.3139963548
2022-08-31,282.81,289.71,277.71,279.15,847.47725831,240305.1598507437
2022-09-01,280.05,280.32,270.86,278.36,1151.00014227,317317.8649522235
2022-09-02,278.31,283.03,273.92,277.45,1003.78139621,279948.793688474
2022-09-03,277.16,278.69,274.3,278.01,595.5967335,164853.6560233643
2022-09-04,277.79,280.44,275.53,278.49,638.37275564,177609.7497808885
2022-09-05,279.82,280.96,272.96,276.92,600.7021305,165944.1819043818
2022-09-06,276.83,286.11,261.44,262.23,1676.47196321,458437.5883447229
2022-09-07,262.38,280.17,259.14,278.96,1200.22457131,324149.4457682626
2022-09-08,278.9,282.52,275.72,280.48,1172.13879777,327330.9549098589
2022-09-09,280.48,295.58,280.48,293.18,1185.00440168,343042.0973969917
2022-09-10,293.1,298.58,291.36,297.14,452.41832835,133381.7522410269
2022-09-11,297.56,297.92,291.08,294.98,382.82243524,112570.9946903403
2022-09-12,294.97,299.77,291.39,294.21,1443.7407506,425014.3409312628
2022-09-13,293.2,298.44,276.12,277.43,1861.21537727,535364.6403514136
2022-09-14,276.99,282.0,273.61,279.86,641.45898918,178925.1156696262
2022-09-15,280.04,280.31,267.0,270.32,512.60253182,139828.5553431676
2022-09-16,270.32,276.01,268.91,274.04,316.12980972,86559.8043587361
2022-09-17,275.96,279.63,275.56,279.31,517.25914235,143321.4597687279
2022-09-18,278.52,279.79,263.28,265.91,471.0203429,128576.2983401688
2022-09-19,266.71,272.68,257.0,272.27,764.18167919,201133.3786107482
2022-09-20,272.99,273.62,265.28,266.4,590.96296835,158857.6212234504
2022-09-21,266.37,276.3,261.0,264.4,613.379,164100.203467
2022-09-22,264.39,276.3,264.39,275.55,577.7509,155175.041438
2022-09-23,275.28,277.34,269.0,276.81,400.5041,109431.188433
2022-09-24,277.08,284.83,274.39,274.39,397.7211,111126.797388
2022-09-25,274.39,279.45,271.35,274.17,319.4749,88001.171533
2022-09-26,274.05,276.3,271.0,275.37,491.8251,134953.473035
2022-09-27,276.3,286.14,269.79,272.23,562.273,157429.262256
2022-09-28,272.17,283.57,266.53,281.59,475.5558,131195.794511
2022-09-29,282.91,285.28,277.67,282.23,370.9754,104665.432971
2022-09-30,284.75,289.45,280.6,284.82,455.7806,129850.805642
2022-10-01,284.7,284.77,278.26,283.03,453.7932,127792.971861
2022-10-02,282.69,287.77,279.68,284.83,219.7767,62256.561824
2022-10-03,284.75,289.22,283.5,287.34,377.1738,107960.276125
2022-10-04,287.09,297.99,286.61,296.43,666.3765,195398.660097
2022-10-05,296.3,296.3,289.72,294.15,508.3039,148265.082718
2022-10-06,293.85,297.9,278.92,287.01,934.6957,269291.127019
2022-10-07,286.74,286.77,279.28,282.36,884.5321,251020.321688
2022-10-08,282.28,282.58,275.75,276.13,234.44487211,65665.1292278168
2022-10-09,277.14,279.43,275.43,277.24,385.3341,107146.582085
2022-10-10,277.62,279.04,271.31,271.57,546.212,150134.632992
2022-10-11,271.0,273.6,267.5,271.46,1043.7707,283443.432008
2022-10-12,271.76,272.71,269.49,270.95,642.5287,174288.762731
2022-10-13,270.87,273.66,257.0,271.77,621.9816,165353.089793
2022-10-14,271.61,276.75,268.0,269.63,237.4522,64616.334612
2022-10-15,269.96,271.32,267.88,268.04,258.0779,69681.208242
2022-10-16,268.21,273.68,268.19,272.59,193.0202,52313.005995
2022-10-17,272.35,275.89,269.85,275.88,353.1809,96624.016894
2022-10-18,275.91,275.91,270.24,273.2,255.6285,69975.432407
2022-10-19,273.43,273.51,270.56,271.3,359.0412,97665.959385
2022-10-20,272.19,273.31,267.44,268.96,252.0336,68131.600328
2022-10-21,268.76,270.84,264.06,269.98,321.871,86323.139876
2022-10-22,269.62,271.1,268.67,270.51,139.5182,37632.385787
2022-10-23,270.72,276.77,268.88,275.97,294.9673,80444.837668
2022-10-24,276.61,277.14,271.8,274.07,153.4939,42011.358398
