#{"t_start": 1752164932.823423, "env_id": "None"}
r,l,t
17877.38667,1955,13.372138
17843.279294,1955,29.520157
17905.51537,1955,42.956215
17832.304154,1955,56.694804
17969.058135,1955,70.142352
17836.206731,1955,86.285563
18013.019268,1955,100.453512
17884.447558,1955,115.262276
17935.779126,1955,129.860542
18008.204146,1955,144.669384
17938.882907,1955,160.983069
17974.360025,1955,175.604716
17948.908682,1955,190.920585
17860.944533,1955,206.644832
18010.382945,1955,223.106131
17965.912112,1955,242.918549
17895.718559,1955,261.140198
17872.776663,1955,279.837453
17982.602785,1955,298.659404
18008.154046,1955,315.780023
16918.670601,1955,335.296429
17754.955313,1955,353.464898
17961.42693,1955,366.541051
17955.209815,1955,384.90407
17851.896754,1955,400.677345
17891.918382,1955,419.622395
17887.441619,1955,437.166028
17749.818145,1955,453.497663
17953.530113,1955,469.142149
17876.541353,1955,485.832298
17979.908042,1955,506.433172
17939.282321,1955,522.826326
18008.074876,1955,539.329935
17964.660465,1955,556.210382
17964.24474,1955,572.550045
18088.025183,1955,597.277102
17960.951101,1955,616.903617
17920.554205,1955,637.536378
17766.880506,1955,654.249841
17790.833571,1955,669.82781
17991.818958,1955,688.61355
17721.07345,1955,704.499536
17838.379947,1955,720.750002
17961.772346,1955,737.632398
17751.719707,1955,753.233927
17689.818551,1955,769.180321
17901.731717,1955,787.320537
17959.179891,1955,803.514798
18048.974013,1955,821.323092
17911.497255,1955,837.546478
17977.625471,1955,854.465027
