step,timestamp,size,price,fee,slippage,impact,position,balance,portfolio_value
6183,2018-09-18 00:00:00,2.265,6268.594803765763,10.64877542289709,1.5378795650767667,16.06692420068625,1.2520000000000002,1126.9763035191845,9004.485500828894
6184,2018-09-18 01:00:00,-1.829,6242.355901875424,8.562951708397613,-1.2243780224020935,-12.429720102174523,-0.5769999999999997,12535.11143289371,8959.500823519185
6185,2018-09-18 02:00:00,0.752,6254.955050313602,3.527794648376872,0.5037845367298194,4.881265776872861,0.17500000000000027,7827.601671897042,8929.109542893711
6186,2018-09-18 03:00:00,-0.517,6235.506971912969,2.4178178283592535,-0.3451711532289352,-2.887856933802476,-0.34199999999999975,11048.779770692465,8919.381171897045
6187,2018-09-18 04:00:00,0.052000000000000005,6265.311573000087,0.2443471513470034,0.03479587237347469,0.2667771277139836,-0.28999999999999976,10722.710702292214,8906.146350692467
6188,2018-09-18 05:00:00,-0.507,6273.21572035394,2.3853902776645857,-0.35537682188958225,-2.4389028241704684,-0.7969999999999997,13900.67626784277,8902.667802292215
6189,2018-09-18 06:00:00,0.084,6273.523602775564,0.39523198697486056,0.058683913950331575,0.4649188616135571,-0.7129999999999997,13373.250168002283,8901.095267842771
6190,2018-09-18 07:00:00,0.42,6292.779729220402,1.9822256147044266,0.29428957769121245,2.3354396427107593,-0.29299999999999976,10728.142709127967,8888.373218002285
6191,2018-09-18 08:00:00,0.835,6266.015724291802,3.924092347337741,0.5945519579542355,4.421172333847919,0.5420000000000003,5491.823410104185,8893.66970912797
6192,2018-09-18 09:00:00,-0.9520000000000001,6254.815688066318,4.4659384012793515,-0.6840323374624775,-5.530279596218784,-0.4099999999999998,11441.64427751529,8885.301670104187
6193,2018-09-18 10:00:00,1.156,6258.768153096766,5.426351988734896,0.8190377860335112,8.019115310731381,0.7460000000000001,4200.705557769706,8879.17297751529
6194,2018-09-18 11:00:00,-0.709,6275.375800167062,3.3369310817388347,-0.45655711879355304,-11.817642714144595,0.037000000000000144,8646.387606934297,8891.292457769705
6195,2018-09-18 12:00:00,-0.9540000000000001,6377.7184636390775,4.56325756073376,-0.5069621400977579,49.30542577917511,-0.9169999999999999,14725.863546514527,8880.557646934298
6196,2018-09-18 13:00:00,1.732,5862.257777604729,7.615072853108543,1.007633089521725,-503.19985548479247,0.8150000000000001,4564.277019678942,8889.662896514528
6197,2018-09-18 14:00:00,-2.13,6195.288630353076,9.896973586989038,-1.25677053354305,-166.49459911338062,-1.315,17749.685030504872,9750.154619678942
6198,2018-09-18 15:00:00,-0.13,6335.930376054164,0.6177532116652811,-0.07676797122136271,-24.002855974613983,-1.4449999999999998,18572.64930625638,9386.271880504872
6199,2018-09-18 16:00:00,2.348,6575.947830435143,11.580244129396288,1.3225263050032556,221.64530413014054,0.903,3119.9191424094934,9392.59320625638
6200,2018-09-18 17:00:00,-0.683,6376.163502310659,3.2661897540586353,-0.32825576985067056,52.89175808050875,0.21999999999999997,7471.354878750011,8830.129942409494
6201,2018-09-18 18:00:00,0.115,6435.024143999482,0.5550208324199554,0.0580294349483446,99.96611456453346,0.33499999999999996,6730.735079968823,8865.054878750012
6202,2018-09-18 19:00:00,0.99,6410.929117037709,4.760114869400499,0.4975697630819333,108.43154727462759,1.325,378.8377982407974,8841.905079968823
6203,2018-09-18 20:00:00,-0.969,6252.670987473064,4.544128640146049,-0.5310620266632384,-72.04795050027263,0.356,6432.828914552707,8759.794048240798
6204,2018-09-18 21:00:00,-0.362,6302.27272758781,1.7110670455400903,-0.20281862415491667,-21.534453788035517,-0.006000000000000005,8712.426503757584,8684.176474552707
6205,2018-09-18 22:00:00,-0.281,6324.816415006086,1.3329550594625326,-0.1584840735603825,-33.34510092035406,-0.28700000000000003,10488.277879893516,8674.276583757584
6206,2018-09-18 23:00:00,0.6900000000000001,6369.5620005415085,3.296248335280231,0.4038545018053617,32.70814603970281,0.403,6089.753721380336,8669.716729893516
6207,2018-09-19 00:00:00,0.462,6341.095241513753,2.1971895011845155,0.27666872977418844,18.858572783978254,0.865,3157.824050999719,8637.503601380336
6208,2018-09-19 01:00:00,0.077,6352.985302112838,0.36688490119701644,0.04601195066165538,4.069290162177085,0.942,2668.2528388424203,8649.59660099972
6209,2018-09-19 02:00:00,-1.645,6276.928298125548,7.744160287812396,-1.0056426642929346,-71.25605921015818,-0.7030000000000001,12985.539451618615,8649.18981884242
6210,2018-09-19 03:00:00,0.776,6396.313472949447,3.7226544412565783,0.4747849587288499,31.73868799071741,0.07299999999999995,8018.00382889134,8511.577151618614
6211,2018-09-19 04:00:00,-1.025,6264.355602225833,4.815723369211108,-0.6225165599269071,-70.5318812142401,-0.952,14433.831549578994,8480.49605889134
6212,2018-09-19 05:00:00,1.5350000000000001,6440.630047079699,7.414775341700504,0.9327081980881413,87.35733888161026,0.5830000000000002,4539.520816332564,8386.403869578993
6213,2018-09-19 06:00:00,-0.386,6321.527739967886,1.8300822807207031,-0.23605587384405796,-29.74620415826987,0.19700000000000017,6977.678436194066,8242.451146332565
6214,2018-09-19 07:00:00,-1.488,6208.5550163167445,6.928747398209487,-0.9016219502632096,-147.4933617329928,-1.291,16208.61763658196,8229.997586194067
6215,2018-09-19 08:00:00,2.089,6152.6919394636425,9.639730096154661,1.189772385636905,-195.1378329219947,0.798,3345.3150296508047,8015.105396581959
6216,2018-09-19 09:00:00,-0.9500000000000001,6341.959050991918,4.518645823831742,-0.49633713811106794,20.55538813002916,-0.15200000000000002,9365.356239214372,8390.191229650805
6217,2018-09-19 10:00:00,0.632,6308.952021585325,2.990443258231444,0.31431578748371936,-11.372294202158864,0.48,5374.903272316635,8404.714719214371
6218,2018-09-19 11:00:00,-1.377,6303.968918964216,6.510423901060294,-0.6811799778077456,18.23009894202395,-0.897,14048.524021569228,8392.384872316634
6219,2018-09-19 12:00:00,1.5230000000000001,6281.899747940574,7.175499987085122,0.8033569582258766,-19.81360901765167,0.6260000000000001,4473.50457900678,8396.607751569229
6220,2018-09-19 13:00:00,-1.8780000000000001,6310.708921827402,8.888633516393897,-1.0080738842871346,21.776995711689782,-1.252,16315.534725114489,8411.00701900678
6221,2018-09-19 14:00:00,1.431,6316.702845138843,6.779401328545265,0.7415311934031924,-12.528686054559506,0.17900000000000005,7269.056368162821,8392.26524511449
6222,2018-09-19 15:00:00,-1.177,6337.903258335731,5.5947841012958675,-0.6653921430990454,10.618650478830572,-0.998,14722.800733515927,8401.759418162821
6223,2018-09-19 16:00:00,1.325,6316.133188781541,6.276657356351656,0.7024114229455833,-11.229222641403718,0.32699999999999996,6347.193118349365,8408.794053515929
6224,2018-09-19 17:00:00,0.5740000000000001,6321.140331810493,2.721250912844418,0.2945805373684307,-4.7142487268760025,0.901,2715.9559002497745,8415.651238349365
6225,2018-09-19 18:00:00,0.426,6163.664602437968,1.9692908404789307,0.2131492429564262,-3.9485468049875623,1.327,88.13420271468931,8272.783300249775
6226,2018-09-19 19:00:00,-2.49,6474.020386061885,12.090233070970571,-2.3961747315681197,66.21656079345273,-1.1630000000000003,16195.54871539975,8594.46960271469
6227,2018-09-19 20:00:00,1.42,6439.695591639666,6.858275805096245,2.146712356643851,13.608879283022887,0.2569999999999997,7043.822838144275,8724.506495399748
