#{"t_start": 1752168172.781732, "env_id": "None"}
r,l,t
-2424.309009,1930,60.896792
-2029.806055,1930,113.085269
-2024.853957,1930,166.183841
-640.024049,1930,223.37663
50.064003,1930,276.879891
