timestamp,open,high,low,close,volume
<<<<<<< HEAD
2025-02-07T16:00:00,98245.0,98523.5,95616.0,96911.5,79.72564103
2025-02-07T20:00:00,96911.6,96913.9,95670.5,96494.9,49.42666525
2025-02-08T00:00:00,96505.7,96817.6,96395.2,96705.6,8.91879683
2025-02-08T04:00:00,96705.7,96705.7,95824.6,96224.9,3.95455531
2025-02-08T08:00:00,96225.0,96278.6,95896.3,96047.7,4.95873437
2025-02-08T12:00:00,96047.9,96429.8,95750.0,95831.4,10.65090249
2025-02-08T16:00:00,95854.2,96678.8,95778.6,96576.0,4.21151399
2025-02-08T20:00:00,96590.1,96649.9,96370.9,96505.0,1.57738494
2025-02-09T00:00:00,96505.1,97273.3,96377.7,97273.3,3.90695435
2025-02-09T04:00:00,97276.4,97354.7,96801.4,97050.8,3.62682201
2025-02-09T08:00:00,97050.8,97240.2,96563.5,96563.5,7.26653444
2025-02-09T12:00:00,96556.5,96643.5,95787.8,96473.8,22.07550026
2025-02-09T16:00:00,96473.8,96512.2,95900.1,96045.2,11.14281451
2025-02-09T20:00:00,96047.2,96670.9,94776.5,96480.7,34.19046353
2025-02-10T00:00:00,96444.8,97050.9,95194.7,96757.0,10.82696354
2025-02-10T04:00:00,96757.0,97565.6,96757.0,97457.3,12.80575271
2025-02-10T08:00:00,97457.4,97892.5,97004.8,97651.9,47.89438285
2025-02-10T12:00:00,97641.7,98300.1,96923.0,97186.4,32.55836034
2025-02-10T16:00:00,97215.0,97615.5,96923.0,97338.0,22.62357875
2025-02-10T20:00:00,97358.9,97447.2,97134.2,97400.8,19.4435004
2025-02-11T00:00:00,97400.9,98099.8,97400.9,97600.8,6.76226471
2025-02-11T04:00:00,97600.8,98428.5,97549.3,98256.0,7.3618111
2025-02-11T08:00:00,98256.0,98256.0,97903.4,98135.2,7.7179379
2025-02-11T12:00:00,98140.0,98143.0,96630.6,97000.0,22.67144668
2025-02-11T16:00:00,97018.4,97038.3,94930.2,95074.2,29.36822583
2025-02-11T20:00:00,95050.0,96467.3,94943.9,95746.5,29.0664122
2025-02-12T00:00:00,95783.6,96216.5,95162.3,95361.0,6.91586508
2025-02-12T04:00:00,95314.9,96129.4,95269.0,96070.2,7.24073655
