step,portfolio_value,total_return,max_drawdown,total_trades,win_rate,current_price,profit_percent,drawdown_percent,win_rate_percent
1,9977.68666540824,-0.0022313334591759484,0.0,0,0.0,9659.01,-0.22313334591759484,0.0,0.0
2,9912.203243055272,-0.008779675694472825,0.0,0,0.0,9365.0,-0.8779675694472825,0.0,0.0
3,9874.205082546241,-0.01257949174537589,0.010371300115162059,0,0.0,9187.56,-1.257949174537589,1.0371300115162059,0.0
4,9910.941879576481,-0.008905812042351862,0.010371300115162059,0,0.0,9310.0,-0.8905812042351863,1.0371300115162059,0.0
5,9778.65506523559,-0.022134493476440913,0.019947669920591375,0,0.0,9002.2,-2.213449347644091,1.9947669920591375,0.0
6,9569.46772445046,-0.04305322755495399,0.04091318505451163,1,0.0,8400.0,-4.305322755495399,4.091318505451163,0.0
7,9568.80455510747,-0.04311954448925299,0.04097965029492543,2,0.0,8465.94,-4.311954448925299,4.097965029492543,0.0
8,9570.702342909546,-0.04292976570904539,0.04097965029492543,3,0.0,8679.71,-4.292976570904539,4.097965029492543,0.0
9,9570.441863143444,-0.04295581368565563,0.04097965029492543,4,0.0,8663.34,-4.295581368565563,4.097965029492543,0.0
10,9569.886560521205,-0.043011343947879505,0.04097965029492543,4,0.0,8462.0,-4.30113439478795,4.097965029492543,0.0
11,9569.522499996045,-0.043047750000395534,0.04097965029492543,4,0.0,8330.0,-4.3047750000395535,4.097965029492543,0.0
12,9568.726696784459,-0.04312733032155411,0.040987453538865855,4,0.0,8041.46,-4.3127330321554105,4.098745353886586,0.0
13,9569.273752884195,-0.043072624711580465,0.040987453538865855,4,0.0,8239.81,-4.3072624711580465,4.098745353886586,0.0
14,9569.256322107536,-0.04307436778924639,0.040987453538865855,4,0.0,8233.49,-4.3074367789246395,4.098745353886586,0.0
15,9570.065777588818,-0.04299342224111824,0.040987453538865855,4,0.0,8526.98,-4.2993422241118235,4.098745353886586,0.0
16,9569.66382167263,-0.043033617832737035,0.040987453538865855,4,0.0,8381.24,-4.3033617832737034,4.098745353886586,0.0
17,9568.549217278443,-0.04314507827215566,0.04100524117962539,4,0.0,7977.11,-4.314507827215566,4.1005241179625385,0.0
18,9567.238709709241,-0.043276129029075856,0.041136585008425444,4,0.0,7501.95,-4.327612902907585,4.113658500842544,0.0
19,9567.440211693849,-0.0432559788306151,0.041136585008425444,4,0.0,7575.01,-4.325597883061509,4.113658500842544,0.0
20,9567.114736068288,-0.0432885263931712,0.04114901009703673,4,0.0,7457.0,-4.32885263931712,4.114901009703673,0.0
21,9566.775387530291,-0.04332246124697085,0.04118302084014546,4,0.0,7333.96,-4.332246124697085,4.118302084014546,0.0
22,9566.789260442727,-0.0433210739557273,0.04118302084014546,4,0.0,7338.99,-4.33210739557273,4.118302084014546,0.0
23,9566.127359795508,-0.04338726402044922,0.0412479685335853,4,0.0,7099.0,-4.338726402044922,4.1247968533585295,0.0
24,9567.126568035355,-0.04328734319646446,0.0412479685335853,4,0.0,7461.29,-4.328734319646446,4.1247968533585295,0.0
25,9566.891224970113,-0.04331087750298866,0.0412479685335853,4,0.0,7375.96,-4.331087750298866,4.1247968533585295,0.0
26,9567.191988608512,-0.043280801139148756,0.0412479685335853,4,0.0,7485.01,-4.328080113914876,4.1247968533585295,0.0
27,9567.291277842647,-0.04327087221573529,0.0412479685335853,4,0.0,7521.01,-4.327087221573529,4.1247968533585295,0.0
28,9567.619539082832,-0.043238046091716754,0.0412479685335853,4,0.0,7640.03,-4.323804609171676,4.1247968533585295,0.0
29,9567.82426796755,-0.04321757320324505,0.0412479685335853,4,0.0,7714.26,-4.3217573203245045,4.1247968533585295,0.0
30,9567.197477096734,-0.04328025229032664,0.0412479685335853,4,0.0,7487.0,-4.328025229032664,4.1247968533585295,0.0
31,9567.578085827581,-0.043242191417241886,0.0412479685335853,4,0.0,7625.0,-4.324219141724188,4.1247968533585295,0.0
32,9567.671417707668,-0.04323285822923317,0.0412479685335853,4,0.0,7658.84,-4.323285822923317,4.1247968533585295,0.0
33,9567.760336732903,-0.043223966326709704,0.0412479685335853,4,0.0,7691.08,-4.32239663267097,4.1247968533585295,0.0
34,9567.518622608472,-0.04324813773915284,0.0412479685335853,4,0.0,7603.44,-4.3248137739152845,4.1247968533585295,0.0
35,9567.210522598883,-0.04327894774011165,0.0412479685335853,4,0.0,7491.73,-4.327894774011165,4.1247968533585295,0.0
36,9565.20614876514,-0.04347938512348592,0.041340295649204266,4,0.0,6764.99,-4.347938512348592,4.134029564920427,0.0
37,9565.501286013605,-0.04344987139863952,0.041340295649204266,4,0.0,6872.0,-4.344987139863952,4.134029564920427,0.0
38,9564.558038289328,-0.04354419617106723,0.04140525163525062,4,0.0,6530.0,-4.354419617106723,4.140525163525062,0.0
39,9563.903777397069,-0.04360962226029314,0.04147082403837362,4,0.0,6292.78,-4.360962226029314,4.147082403837362,0.0
40,9564.850334762483,-0.04351496652375172,0.04147082403837362,4,0.0,6635.98,-4.351496652375172,4.147082403837362,0.0
41,9564.168879652207,-0.04358311203477933,0.04147082403837362,4,0.0,6388.9,-4.358311203477934,4.147082403837362,0.0
42,9564.431113551693,-0.043556888644830725,0.04147082403837362,4,0.0,6483.98,-4.3556888644830725,4.147082403837362,0.0
43,9564.336319913438,-0.043566368008656174,0.04147082403837362,4,0.0,6449.61,-4.356636800865617,4.147082403837362,0.0
44,9565.061269224332,-0.04349387307756679,0.04147082403837362,4,0.0,6712.46,-4.349387307756679,4.147082403837362,0.0
45,9565.140562709927,-0.04348594372900734,0.04147082403837362,4,0.0,6741.21,-4.348594372900734,4.147082403837362,0.0
46,9565.19655080584,-0.043480344919415985,0.04147082403837362,4,0.0,6761.51,-4.348034491941599,4.147082403837362,0.0
47,9565.078865483049,-0.04349211345169515,0.04147082403837362,4,0.0,6718.84,-4.349211345169516,4.147082403837362,0.0
