step,portfolio_value,total_return,max_drawdown,total_trades,win_rate,current_price,profit_percent,drawdown_percent,win_rate_percent
1,10000.0,0.0,0.0,0,0.0,9131.34,0.0,0.0,0.0
2,10000.696205644335,6.962056443353504e-05,0.0,0,0.0,9150.0,0.006962056443353504,0.0,0.0
3,9947.069726788439,-0.005293027321156114,0.005362274561008064,0,0.0,8170.0,-0.5293027321156114,0.5362274561008064,0.0
4,9950.953816042716,-0.0049046183957283575,0.005362274561008064,0,0.0,8240.98,-0.49046183957283573,0.5362274561008064,0.0
5,9951.994607499695,-0.004800539250030488,0.005362274561008064,0,0.0,8260.0,-0.4800539250030488,0.5362274561008064,0.0
6,9929.35611247835,-0.007064388752164996,0.007133512677419535,1,0.0,7824.8,-0.7064388752164996,0.7133512677419536,0.0
7,9948.340460562753,-0.005165953943724708,0.007133512677419535,1,0.0,8189.99,-0.5165953943724708,0.7133512677419536,0.0
8,9983.355292835711,-0.0016644707164288775,0.007133512677419535,1,0.0,8600.0,-0.16644707164288775,0.7133512677419536,0.0
9,10023.673389759751,0.0023673389759751445,0.007133512677419535,1,0.0,8909.98,0.23673389759751445,0.7133512677419536,0.0
10,10019.497380362092,0.0019497380362092371,0.007133512677419535,1,0.0,8885.0,0.1949738036209237,0.7133512677419536,0.0
11,9985.391562654593,-0.0014608437345406855,0.007133512677419535,1,0.0,8722.9,-0.14608437345406855,0.7133512677419536,0.0
12,10029.863182351448,0.0029863182351447903,0.007133512677419535,1,0.0,8898.03,0.29863182351447903,0.7133512677419536,0.0
13,9928.779311167847,-0.007122068883215251,0.0100782901367456,1,0.0,8546.86,-0.7122068883215251,1.00782901367456,0.0
14,9906.738709831705,-0.009326129016829509,0.012275787842888313,1,0.0,8470.15,-0.9326129016829509,1.2275787842888313,0.0
15,9795.168956101455,-0.020483104389854453,0.023399544139640956,1,0.0,8134.23,-2.048310438985445,2.3399544139640955,0.0
16,9677.222999748532,-0.03227770002514681,0.03515902223107308,1,0.0,7795.51,-3.227770002514681,3.5159022231073083,0.0
17,9736.748280217704,-0.026325171978229627,0.03515902223107308,1,0.0,7949.3,-2.632517197822963,3.5159022231073083,0.0
18,9387.973675522104,-0.06120263244778962,0.06399783278787025,1,0.0,7090.14,-6.120263244778962,6.399783278787025,0.0
19,9366.19276123944,-0.06338072387605607,0.0661694391085816,2,0.0,6840.23,-6.3380723876056075,6.61694391085816,0.0
20,9367.262536347587,-0.06327374636524127,0.0661694391085816,3,0.0,6923.91,-6.3273746365241275,6.61694391085816,0.0
21,9366.844033077696,-0.06331559669223043,0.0661694391085816,4,0.0,6813.01,-6.331559669223043,6.61694391085816,0.0
22,9367.63296011391,-0.06323670398860905,0.0661694391085816,4,0.0,7056.0,-6.323670398860905,6.61694391085816,0.0
23,9368.766756608893,-0.06312332433911069,0.0661694391085816,4,0.0,7405.21,-6.312332433911069,6.61694391085816,0.0
24,9328.078342297484,-0.06719216577025162,0.0699695327139482,4,0.0,6796.1,-6.719216577025162,6.996953271394819,0.0
25,9327.508057766194,-0.06724919422338062,0.07002639136903867,5,0.0,6770.76,-6.724919422338062,7.002639136903867,0.0
26,9327.012200205521,-0.06729877997944786,0.07007582948715227,6,0.0,6601.39,-6.729877997944786,7.007582948715227,0.0
27,9327.792991457394,-0.06722070085426057,0.07007582948715227,6,0.0,6895.8,-6.722070085426058,7.007582948715227,0.0
28,9328.117072470195,-0.0671882927529805,0.07007582948715227,6,0.0,7018.0,-6.71882927529805,7.007582948715227,0.0
29,9327.493097178118,-0.06725069028218822,0.07007582948715227,6,0.0,6782.72,-6.725069028218822,7.007582948715227,0.0
30,9327.655349848848,-0.06723446501511517,0.07007582948715227,6,0.0,6843.9,-6.723446501511517,7.007582948715227,0.0
31,9327.946784075499,-0.06720532159245013,0.07007582948715227,6,0.0,6953.79,-6.720532159245013,7.007582948715227,0.0
32,9330.517181443889,-0.0669482818556111,0.07007582948715227,6,0.0,7923.0,-6.69482818556111,7.007582948715227,0.0
33,9330.396274296805,-0.06696037257031949,0.07007582948715227,6,0.0,7877.41,-6.696037257031949,7.007582948715227,0.0
34,9332.625437355035,-0.06673745626449654,0.07007582948715227,6,0.0,7999.01,-6.673745626449653,7.007582948715227,0.0
35,9348.154641208243,-0.06518453587917575,0.07007582948715227,6,0.0,8355.0,-6.518453587917575,7.007582948715227,0.0
36,9335.394796627437,-0.06646052033725627,0.07007582948715227,6,0.0,8064.92,-6.646052033725628,7.007582948715227,0.0
37,9319.240207586336,-0.06807597924136644,0.07085071469524379,6,0.0,7885.02,-6.807597924136644,7.085071469524379,0.0
38,9344.726476138329,-0.06552735238616715,0.07085071469524379,6,0.0,8173.0,-6.552735238616715,7.085071469524379,0.0
39,9357.081814650535,-0.06429181853494646,0.07085071469524379,6,0.0,8278.0,-6.429181853494646,7.085071469524379,0.0
40,9446.488032478519,-0.0553511967521481,0.07085071469524379,6,0.0,8856.98,-5.53511967521481,7.085071469524379,0.0
41,9457.336752668816,-0.05426632473311838,0.07085071469524379,6,0.0,8915.31,-5.426632473311838,7.085071469524379,0.0
42,9433.037268219525,-0.05669627317804752,0.07085071469524379,6,0.0,8787.02,-5.669627317804752,7.085071469524379,0.0
43,9460.878730681146,-0.05391212693188536,0.07085071469524379,6,0.0,8934.01,-5.391212693188536,7.085071469524379,0.0
44,9590.81060645108,-0.04091893935489206,0.07085071469524379,6,0.0,9619.99,-4.091893935489206,7.085071469524379,0.0
45,9433.007388028836,-0.05669926119711636,0.07085071469524379,6,0.0,8869.99,-5.6699261197116355,7.085071469524379,0.0
46,9520.62930487778,-0.04793706951222193,0.07085071469524379,6,0.0,9266.0,-4.793706951222193,7.085071469524379,0.0
47,9436.347447403077,-0.05636525525969228,0.07085071469524379,6,0.0,8915.35,-5.636525525969228,7.085071469524379,0.0
48,9537.69741440225,-0.04623025855977503,0.07085071469524379,7,0.14285714285714285,9348.0,-4.623025855977502,7.085071469524379,14.285714285714285
49,9554.334872140807,-0.044566512785919256,0.07085071469524379,7,0.14285714285714285,9419.0,-4.4566512785919254,7.085071469524379,14.285714285714285
50,9513.798057856398,-0.04862019421436016,0.07085071469524379,7,0.14285714285714285,9246.01,-4.862019421436016,7.085071469524379,14.285714285714285
51,9474.345589060213,-0.05256544109397873,0.07085071469524379,8,0.25,9071.48,-5.256544109397873,7.085071469524379,25.0
52,9512.89153348112,-0.048710846651887914,0.07085071469524379,9,0.3333333333333333,9247.84,-4.871084665188792,7.085071469524379,33.33333333333333
53,9629.116524350262,-0.03708834756497381,0.07085071469524379,9,0.3333333333333333,9750.0,-3.708834756497381,7.085071469524379,33.33333333333333
54,9620.776483474327,-0.03792235165256734,0.07085071469524379,9,0.3333333333333333,9713.99,-3.792235165256734,7.085071469524379,33.33333333333333
55,9654.618143953097,-0.03453818560469026,0.07085071469524379,10,0.4,9864.0,-3.4538185604690264,7.085071469524379,40.0
56,9608.974005620088,-0.039102599437991194,0.07085071469524379,11,0.45454545454545453,9659.01,-3.9102599437991192,7.085071469524379,45.45454545454545
57,9546.099874479893,-0.045390012552010736,0.07085071469524379,12,0.5,9365.0,-4.5390012552010734,7.085071469524379,50.0
58,9509.652460758143,-0.04903475392418568,0.07085071469524379,13,0.5384615384615384,9187.56,-4.903475392418568,7.085071469524379,53.84615384615385
59,9535.776027734722,-0.04642239722652775,0.07085071469524379,13,0.5384615384615384,9310.0,-4.642239722652775,7.085071469524379,53.84615384615385
60,9472.14796699673,-0.052785203300326974,0.07085071469524379,14,0.5714285714285714,9002.2,-5.2785203300326975,7.085071469524379,57.14285714285714
61,9347.747153192191,-0.0652252846807809,0.07085071469524379,14,0.5714285714285714,8400.0,-6.5225284680780895,7.085071469524379,57.14285714285714
62,9362.054838676806,-0.0637945161323194,0.07085071469524379,14,0.5714285714285714,8465.94,-6.37945161323194,7.085071469524379,57.14285714285714
63,9416.031761398643,-0.058396823860135734,0.07085071469524379,14,0.5714285714285714,8679.71,-5.839682386013574,7.085071469524379,57.14285714285714
64,9411.300041516837,-0.05886999584831629,0.07085071469524379,14,0.5714285714285714,8663.34,-5.886999584831629,7.085071469524379,57.14285714285714
65,9355.821220438844,-0.06441787795611563,0.07085071469524379,15,0.6,8462.0,-6.441787795611563,7.085071469524379,60.0
66,9320.311691538212,-0.06796883084617875,0.07085071469524379,16,0.5625,8330.0,-6.796883084617875,7.085071469524379,56.25
67,9244.834607719036,-0.07551653922809637,0.07826912096006935,17,0.5294117647058824,8041.46,-7.551653922809637,7.826912096006936,52.94117647058824
68,9296.692426385707,-0.07033075736142928,0.07826912096006935,17,0.5294117647058824,8239.81,-7.033075736142928,7.826912096006936,52.94117647058824
69,9295.040087520201,-0.07049599124797987,0.07826912096006935,17,0.5294117647058824,8233.49,-7.049599124797987,7.826912096006936,52.94117647058824
70,9371.77188081731,-0.06282281191826897,0.07826912096006935,17,0.5294117647058824,8526.98,-6.282281191826897,7.826912096006936,52.94117647058824
71,9333.668737421895,-0.06663312625781055,0.07826912096006935,17,0.5294117647058824,8381.24,-6.663312625781055,7.826912096006936,52.94117647058824
72,9230.860509606166,-0.07691394903938344,0.0796623700860853,18,0.5,7977.11,-7.691394903938344,7.96623700860853,50.0
73,9111.359738119661,-0.08886402618803386,0.09157686675606758,19,0.47368421052631576,7501.95,-8.886402618803386,9.157686675606758,47.368421052631575
74,9132.356625163768,-0.08676433748362324,0.09157686675606758,19,0.47368421052631576,7575.01,-8.676433748362324,9.157686675606758,47.368421052631575
75,9098.138137602058,-0.09018618623979419,0.09289509017319933,19,0.47368421052631576,7457.0,-9.01861862397942,9.289509017319933,47.368421052631575
76,9059.218169445881,-0.09407818305541187,0.09677549885361487,19,0.47368421052631576,7333.96,-9.407818305541186,9.677549885361488,47.368421052631575
77,9060.804231009824,-0.09391957689901756,0.09677549885361487,19,0.47368421052631576,7338.99,-9.391957689901757,9.677549885361488,47.368421052631575
78,8985.13049050674,-0.10148695094932592,0.10416220768425029,19,0.47368421052631576,7099.0,-10.148695094932592,10.41622076842503,47.368421052631575
79,9006.814164473333,-0.09931858355266668,0.10416220768425029,20,0.45,7461.29,-9.931858355266668,10.41622076842503,45.0
80,8997.483257655822,-0.1002516742344178,0.10416220768425029,20,0.45,7375.96,-10.025167423441781,10.41622076842503,45.0
81,9008.649815787634,-0.0991350184212366,0.10416220768425029,21,0.42857142857142855,7485.01,-9.91350184212366,10.41622076842503,42.857142857142854
82,9012.342926562485,-0.09876570734375145,0.10416220768425029,21,0.42857142857142855,7521.01,-9.876570734375145,10.41622076842503,42.857142857142854
83,9024.552761129782,-0.09754472388702179,0.10416220768425029,21,0.42857142857142855,7640.03,-9.75447238870218,10.41622076842503,42.857142857142854
84,9033.302107415902,-0.09666978925840976,0.10416220768425029,21,0.42857142857142855,7714.26,-9.666978925840976,10.41622076842503,42.857142857142854
85,9006.26633433191,-0.09937336656680909,0.10416220768425029,21,0.42857142857142855,7487.0,-9.937336656680909,10.41622076842503,42.857142857142854
86,9025.150739082179,-0.09748492609178211,0.10416220768425029,21,0.42857142857142855,7625.0,-9.74849260917821,10.41622076842503,42.857142857142854
87,9030.9913708289,-0.09690086291710995,0.10416220768425029,21,0.42857142857142855,7658.84,-9.690086291710994,10.41622076842503,42.857142857142854
88,9037.840376149064,-0.09621596238509356,0.10416220768425029,21,0.42857142857142855,7691.08,-9.621596238509355,10.41622076842503,42.857142857142854
89,9015.138792210084,-0.0984861207789916,0.10416220768425029,21,0.42857142857142855,7603.44,-9.84861207789916,10.41622076842503,42.857142857142854
90,8983.890137364688,-0.10161098626353122,0.1042858736924004,21,0.42857142857142855,7491.73,-10.161098626353123,10.42858736924004,42.857142857142854
91,8754.385818877117,-0.12456141811228827,0.12716797231278898,21,0.42857142857142855,6764.99,-12.456141811228827,12.716797231278898,42.857142857142854
92,8760.02941553341,-0.12399705844665895,0.12716797231278898,22,0.4090909090909091,6872.0,-12.399705844665895,12.716797231278898,40.909090909090914
